試行回数	ノード	ノード間距離
1152	1524	0.0
1153	1227	0.0
1154	1381	0.0
1155	1175	0.0
1156	1422	0.0
1157	876	0.0
1158	1401	0.0
1159	1169	0.0
1160	1050	0.0
1161	1199	0.0
1162	1407	0.0
1163	1116	0.0
1164	1220	0.0
1165	1248	0.0
1166	992	0.0
1167	875	0.0
1168	1236	0.0
1169	1024	0.0
1170	1016	0.0
1171	1393	0.0
1172	1353	0.0
1173	1039	0.0
1174	692	0.0
1175	937	0.0
1176	978	0.0
1177	1363	0.0
1178	1252	0.0
1179	745	0.0
1180	938	0.0
1181	777	0.0
1182	1360	0.0
1183	1233	0.0
1184	1160	0.0
1185	1242	0.0
1186	951	0.0
1187	1095	0.0
1188	1020	0.0
1189	1105	0.0
1190	1240	0.0
1191	1266	0.0
1192	1218	0.0
1193	1155	0.0
1194	1181	0.0
1195	1305	0.0
1196	1221	0.0
1197	1108	0.0
1198	1171	0.0
1199	1188	0.0
1200	1282	0.0
1201	1117	0.0
1202	1134	0.0
1203	1084	0.0
1204	1144	0.0
1205	1012	0.0
1206	1286	0.0
1207	1249	0.0
1208	1336	0.0
1209	1111	0.0
1210	1355	0.0
1211	1015	0.0
1212	1366	0.0
1213	1115	0.0
1214	1806	0.0
1215	1397	0.0
1216	1077	0.0
1217	1309	0.0
1218	1099	0.0
1219	1143	0.0
1220	1457	0.0
1221	1207	0.0
1222	1333	0.0
1223	1161	0.0
1224	1147	0.0
1225	1550	0.0
1226	1051	0.0
1227	1102	0.0
1228	1132	0.0
1229	1419	0.0
1230	1425	0.0
1231	1255	0.0
1232	1488	0.0
1233	1004	0.0
1234	1320	0.0
1235	1484	0.0
1236	1302	0.0
1237	1223	0.0
1238	1201	0.0
1239	1189	0.0
1240	1290	0.0
1241	1215	0.0
1242	1243	0.0
1243	1198	0.0
1244	1074	0.0
1245	1151	0.0
1246	1487	0.0
1247	1289	0.0
1248	1344	0.0
1249	1224	0.0
1250	1737	0.0
1251	1382	0.0
1252	1213	0.0
1253	972	0.0
1254	1190	0.0
1255	1228	0.0
1256	1045	0.0
1257	1652	0.0
1258	1552	0.0
1259	1150	0.0
1260	1059	0.0
1261	1103	0.0
1262	1278	0.0
1263	1104	0.0
1264	1244	0.0
1265	1294	0.0
1266	1195	0.0
1267	1380	0.0
1268	1128	0.0
1269	1082	0.0
1270	1349	0.0
1271	1148	0.0
1272	1037	0.0
1273	1285	0.0
1274	1592	0.0
1275	1122	0.0
1276	1347	0.0
1277	1293	0.0
1278	1539	0.0
1279	789	0.0
1280	1078	0.0
1281	998	0.0
1282	1185	0.0
1283	1394	0.0
1284	1324	0.0
1285	1311	0.0
1286	1003	0.0
1287	1452	0.0
1288	1402	0.0
1289	1684	0.0
1290	1027	0.0
1291	1437	0.0
1292	1301	0.0
1293	1226	0.0
1294	1317	0.0
1295	1582	0.0
1296	1399	0.0
1297	1141	0.0
1298	1062	0.0
1299	1474	0.0
1300	1234	0.0
1301	1017	0.0
1302	1127	0.0
1303	1369	0.0
1304	1028	0.0
1305	1281	0.0
1306	1054	0.0
1307	1277	0.0
1308	1733	0.0
1309	1575	0.0
1310	1362	0.0
1311	1303	0.0
1312	1288	0.0
1313	1490	0.0
1314	1271	0.0
1315	1308	0.0
1316	1225	0.0
1317	1412	0.0
1318	1742	0.0
1319	1208	0.0
1320	1783	0.0
1321	1232	0.0
1322	1203	0.0
1323	955	0.0
1324	1438	0.0
1325	1557	0.0
1326	1722	0.0
1327	1187	0.0
1328	1458	0.0
1329	1298	0.0
1330	1253	0.0
1331	1372	0.0
1332	1416	0.0
1333	1251	0.0
1334	1292	0.0
1335	1296	0.0
1336	1423	0.0
1337	881	0.0
1338	1570	0.0
1339	1192	0.0
1340	1275	0.0
1341	1432	0.0
1342	1605	0.0
1343	1284	0.0
1344	1149	0.0
1345	1408	0.0
1346	1094	0.0
1347	1441	0.0
1348	1238	0.0
1349	1396	0.0
1350	1121	0.0
1351	1237	0.0
1352	1029	0.0
1353	1859	0.0
1354	1455	0.0
1355	1389	0.0
1356	1453	0.0
1357	1350	0.0
1358	1057	0.0
1359	1459	0.0
1360	1254	0.0
1361	1067	0.0
1362	1058	0.0
1363	1124	0.0
1364	1304	0.0
1365	1586	0.0
1366	1461	0.0
1367	1444	0.0
1368	1300	0.0
1369	1426	0.0
1370	1318	0.0
1371	1269	0.0
1372	1088	0.0
1373	1398	0.0
1374	1559	0.0
1375	1260	0.0
1376	1276	0.0
1377	1133	0.0
1378	1454	0.0
1379	1125	0.0
1380	1331	0.0
1381	1326	0.0
1382	1257	0.0
1383	1209	0.0
1384	1656	0.0
1385	1306	0.0
1386	1379	0.0
1387	1527	0.0
1388	1222	0.0
1389	1390	0.0
1390	1214	0.0
1391	1297	0.0
1392	1583	0.0
1393	1273	0.0
1394	1578	0.0
1395	1351	0.0
1396	1848	0.0
1397	1091	0.0
1398	1427	0.0
1399	1310	0.0
1400	1434	0.0
1401	1173	0.0
1402	1314	0.0
1403	1319	0.0
1404	1711	0.0
1405	1368	0.0
1406	1202	0.0
1407	1346	0.0
1408	1140	0.0
1409	1193	0.0
1410	1450	0.0
1411	1265	0.0
1412	1726	0.0
1413	1468	0.0
1414	1334	0.0
1415	1330	0.0
1416	1593	0.0
1417	1343	0.0
1418	1700	0.0
1419	1662	0.0
1420	1376	0.0
1421	1411	0.0
1422	1239	0.0
1423	1417	0.0
1424	1869	0.0
1425	1549	0.0
1426	1479	0.0
1427	1589	0.0
1428	1672	0.0
1429	1200	0.0
1430	1462	0.0
1431	1560	0.0
1432	1512	0.0
1433	1120	0.0
1434	1473	0.0
1435	1465	0.0
1436	1387	0.0
1437	1406	0.0
1438	1357	0.0
1439	1361	0.0
1440	1480	0.0
1441	1469	0.0
1442	1708	0.0
1443	1386	0.0
1444	1424	0.0
1445	1675	0.0
1446	1792	0.0
1447	1338	0.0
1448	1261	0.0
1449	1377	0.0
1450	1342	0.0
1451	1482	0.0
1452	1420	0.0
1453	1681	0.0
1454	1316	0.0
1455	1341	0.0
1456	1470	0.0
1457	1375	0.0
1458	1532	0.0
1459	1472	0.0
1460	1356	0.0
1461	1392	0.0
